product_key,country,current_price_usd,siamese_fair_price_usd,lightgbm_fair_price_usd,combined_fair_price_usd,siamese_gap_usd,lightgbm_gap_usd,combined_gap_usd,siamese_action,lightgbm_action,combined_action,siamese_confidence,lightgbm_confidence,combined_confidence,model_action_agreement
chelsea f.c. 2024/25 stadium home||apparel||older kids' nike dri-fit football replica shirt||rush blue/team orange/white||boys|girls,FI,95.9091,,67.3623,67.3623,,28.5468,28.5468,,lower_price,lower_price,,0.5011,0.5011,na
ナイキ クラブ||apparel||メンズ メッシュ フロー ショートパンツ||デニムターコイズ/ホワイト||men,JP,42.8733,,71.2671,71.2671,,-28.3938,-28.3938,,raise_price,raise_price,,0.5038,0.5038,na
nike aeroswift||apparel||women's dri-fit adv cropped running tank top||off white/black||women,US,95.0,,123.8694,123.8694,,-28.8694,-28.8694,,raise_price,raise_price,,0.4955,0.4955,na
inter milan 2026 match se||apparel||men's nike acg dri-fit adv football authentic shirt||hyper blue/black/safety orange||men,FI,163.4891,,135.0162,135.0162,,28.4729,28.4729,,lower_price,lower_price,,0.5024,0.5024,na
rome odunze chicago bears||apparel||men's nike nfl game jersey||marine||men,US,130.0,,158.3094,158.3094,,-28.3094,-28.3094,,raise_price,raise_price,,0.5053,0.5053,na
atlético de madrid 2025||apparel||men's nike dri-fit adv mlb limited jersey||white||men,US,175.0,,146.4135,146.4135,,28.5865,28.5865,,lower_price,lower_price,,0.5004,0.5004,na
arizona cardinals sideline coach||apparel||men's nike dri-fit nfl top||black||men,US,55.0,,83.5864,83.5864,,-28.5864,-28.5864,,raise_price,raise_price,,0.5004,0.5004,na
atlanta falcons sideline coach||apparel||men's nike dri-fit nfl top||black||men,US,55.0,,83.5864,83.5864,,-28.5864,-28.5864,,raise_price,raise_price,,0.5004,0.5004,na
las vegas raiders sideline coach||apparel||men's nike dri-fit nfl top||black||men,US,55.0,,83.5864,83.5864,,-28.5864,-28.5864,,raise_price,raise_price,,0.5004,0.5004,na
pittsburgh steelers sideline coach||apparel||men's nike dri-fit nfl top||black||men,US,55.0,,83.5864,83.5864,,-28.5864,-28.5864,,raise_price,raise_price,,0.5004,0.5004,na
ナイキ エア マックス ポータル||footwear||ウィメンズシューズ||プラチナムバイオレット/ライトバイオレットオール/セイル/バイオレットオール||women,JP,99.495,,128.4166,128.4166,,-28.9216,-28.9216,,raise_price,raise_price,,0.4946,0.4946,na
ナイキ セルソ ガール||footwear||ウィメンズスライド||ブラック/ホワイト||women,JP,23.584,,52.4065,52.4065,,-28.8225,-28.8225,,raise_price,raise_price,,0.4963,0.4963,na
lebron witness 9||footwear||basketball shoes||desert pink/pink rise/white/black||men|women,FI,130.7891,,159.4499,159.4499,,-28.6608,-28.6608,,raise_price,raise_price,,0.4991,0.4991,na
nike club||apparel||men's french terry flow shorts||dark grey heather/light smoke grey/white||men,FI,43.5891,,72.2959,72.2959,,-28.7068,-28.7068,,raise_price,raise_price,,0.4983,0.4983,na
nike essential||apparel||women's u-back one-piece swimsuit (plus size)||black||women,US,94.0,,65.0902,65.0902,,28.9098,28.9098,,lower_price,lower_price,,0.4948,0.4948,na
"nike acg ""wildsee""||apparel||women's base layer long-sleeve top||black/anthracite/summit white||women",US,75.0,,103.3482,103.3482,,-28.3482,-28.3482,,raise_price,raise_price,,0.5046,0.5046,na
ナイキ エア マックス ボルト||footwear||メンズシューズ||ホワイト/ホワイト/ブラック||men,JP,85.492,,113.9927,113.9927,,-28.5007,-28.5007,,raise_price,raise_price,,0.5019,0.5019,na
dallas cowboys||apparel||women's nike nfl 3/4-sleeve t-shirt||navy/white||women,US,45.0,,73.609,73.609,,-28.609,-28.609,,raise_price,raise_price,,0.5,0.5,na
ヤニス アデトクンボ ミルウォーキー バックス シティ エディション||apparel||メンズ ナイキ nba スウィングマン ジャージー||フラットオパール||men,JP,137.1155,,108.5008,108.5008,,28.6147,28.6147,,lower_price,lower_price,,0.4999,0.4999,na
jordan brooklyn||apparel||men's collegiate shorts||sport blue/black||men,SI,59.9391,,88.6226,88.6226,,-28.6835,-28.6835,,raise_price,raise_price,,0.4987,0.4987,na
エア ジョーダン 1 low||footwear||メンズシューズ||ブラック/ホワイト/セイル/スターフィッシュ||men,JP,110.55,,138.8085,138.8085,,-28.2585,-28.2585,,raise_price,raise_price,,0.5062,0.5062,na
lebron witness 9||footwear||basketball shoes||desert pink/pink rise/white/black||men|women,SI,130.7891,,159.358,159.358,,-28.5689,-28.5689,,raise_price,raise_price,,0.5007,0.5007,na
nike match||equipment||goalkeeper soccer gloves||black/white/white||men|women,US,34.0,,62.4892,62.4892,,-28.4892,-28.4892,,raise_price,raise_price,,0.5021,0.5021,na
nike air force 1 retro||footwear||men's shoes||summit white/black/summit white||men,US,130.0,,158.6203,158.6203,,-28.6203,-28.6203,,raise_price,raise_price,,0.4998,0.4998,na
nike tech||apparel||men's fleece loose-fit open hem pants||anthracite/black||men,US,155.0,,126.4369,126.4369,,28.5631,28.5631,,lower_price,lower_price,,0.5008,0.5008,na
jordan||apparel||men's milan t-shirt||white/black||men,SI,32.6891,,61.5752,61.5752,,-28.8861,-28.8861,,raise_price,raise_price,,0.4952,0.4952,na
jordan||apparel||men's paris t-shirt||white/black||men,SI,32.6891,,61.5752,61.5752,,-28.8861,-28.8861,,raise_price,raise_price,,0.4952,0.4952,na
nike sportswear chill knit||apparel||women's cropped t-shirt||black/white||women,FI,32.6891,,61.4995,61.4995,,-28.8104,-28.8104,,raise_price,raise_price,,0.4965,0.4965,na
inter milan strike||apparel||men's nike dri-fit football knit tracksuit||grey haze/blue void/blue void||men,FI,152.5891,,124.1057,124.1057,,28.4834,28.4834,,lower_price,lower_price,,0.5022,0.5022,na
nike air max 1 by you||footwear||custom men's shoes||multi-color/multi-color/multi-color||men,US,175.0,,146.5958,146.5958,,28.4042,28.4042,,lower_price,lower_price,,0.5036,0.5036,na
trae young atlanta hawks 2023/24 city edition||apparel||older kids' nike dri-fit nba swingman jersey||black||boys,FI,101.3591,,72.7961,72.7961,,28.563,28.563,,lower_price,lower_price,,0.5008,0.5008,na
nike standard issue||apparel||men's 12.7cm (approx.) practice mesh basketball shorts||sail/pale ivory/black||men,FI,49.0391,,77.7742,77.7742,,-28.7351,-28.7351,,raise_price,raise_price,,0.4978,0.4978,na
nike dri-fit||equipment||skull cap||black||men,US,30.0,,58.7582,58.7582,,-28.7582,-28.7582,,raise_price,raise_price,,0.4974,0.4974,na
ナイキ イニシエーター||footwear||メンズシューズ||アンスラサイト/スモークグレー/フォトンダスト/メタリッククールグレー||men,JP,64.3133,,93.1701,93.1701,,-28.8568,-28.8568,,raise_price,raise_price,,0.4957,0.4957,na
ナイキ イニシエーター||footwear||メンズシューズ||オブシディアン/メタリックシルバー/ホワイト/チームゴールド||men,JP,64.3133,,93.1701,93.1701,,-28.8568,-28.8568,,raise_price,raise_price,,0.4957,0.4957,na
ナイキ エア マックス ミューズ||footwear||ウィメンズシューズ リフレクティブ (再帰反射) アクセント付き||ピュアプラチナム/メタリックシルバー||women,JP,151.085,,122.2863,122.2863,,28.7987,28.7987,,lower_price,lower_price,,0.4967,0.4967,na
ナイキ ジュニア マーキュリアル ヴェイパー 16 プロ||footwear||キッズ ファームグラウンド ローカット サッカースパイク||レーサーブルー/ホワイト||,JP,106.865,,78.2793,78.2793,,28.5857,28.5857,,lower_price,lower_price,,0.5004,0.5004,na
